Data,Średnia temperatura powietrza,Maksymalna temperatura powietrza,Minimalna temperatura powietrza,Minimalna temperatura powietrza przy gruncie,Średnia wilgotność powietrza,Średnia prężność pary wodnej,Średnie zachmurzenie,Średnia prędkość wiatru,Ciśnienie na poziomie morza,Ciśnienie na poziomie stacji,Dobowa suma opadu,Opad - dzień,Opad - noc,Usłonecznienie,Czas trwania opadu deszczu,Czas trwania rosy,Czas trwania burzy
2018-07-24,23.3,28.6,16.8,15.0,56.5,15.7,2.0,4.4,1012.2,999.9,0.0,0.0,0.0,13.7,nan,nan,nan
2018-07-25,23.4,28.3,18.8,17.1,66.9,19.1,3.6,4.0,1012.5,1000.2,0.0,0.0,0.0,4.6,nan,nan,nan
2018-07-26,23.5,29.3,19.7,18.6,70.9,20.2,4.3,2.6,1014.7,1002.4,0.0,0.0,0.0,6.9,nan,nan,0.5
2018-07-27,24.5,29.0,19.5,17.0,67.5,20.3,4.5,3.0,1014.6,1002.4,0.0,0.0,0.0,8.1,nan,5.3,nan
2018-07-28,24.9,29.4,19.9,17.6,72.0,22.3,2.6,2.1,1010.7,998.5,0.0,0.0,0.0,6.7,nan,6.0,nan
2018-07-29,24.3,29.8,20.1,17.5,74.6,22.4,4.3,3.0,1013.3,1001.1,7.1,0.0,7.1,5.4,1.3,2.1,1.9
2018-07-30,24.6,31.5,18.8,17.8,71.9,21.4,4.4,2.8,1016.8,1004.5,0.0,0.0,0.0,7.0,0.4,nan,0.4
2018-07-31,24.6,32.0,20.7,18.5,73.9,22.5,4.4,1.9,1018.6,1006.3,0.3,0.3,0.0,5.2,1.3,nan,1.7
2018-08-01,25.3,31.2,19.1,17.2,69.6,21.9,2.6,2.3,1019.9,1007.6,0.0,0.0,0.0,10.1,nan,nan,nan
2018-08-02,26.5,31.8,21.2,19.6,60.9,20.3,2.0,2.1,1020.6,1008.3,0.0,0.0,0.0,12.2,nan,6.7,nan
2018-08-03,25.2,31.7,19.1,17.4,68.9,21.6,3.6,1.1,1019.8,1007.6,0.2,0.2,0.0,5.9,0.8,7.8,1.2
2018-08-04,25.6,31.3,18.1,17.2,63.0,19.7,2.9,2.0,1016.3,1004.1,7.2,0.0,7.2,10.4,nan,nan,nan
2018-08-05,22.2,27.6,18.4,17.6,70.1,18.6,4.9,3.9,1015.1,1002.8,0.0,0.0,0.0,6.7,2.0,nan,1.1
2018-08-06,20.2,24.2,15.2,14.4,66.8,15.7,3.4,3.5,1017.6,1005.1,0.0,0.0,0.0,8.0,nan,5.3,nan
2018-08-07,21.8,28.3,13.1,11.1,61.4,15.1,2.1,1.4,1017.9,1005.5,0.0,0.0,0.0,14.1,nan,0.4,nan
2018-08-08,24.1,30.2,16.8,15.3,53.6,15.5,0.3,3.9,1017.2,1004.9,0.0,0.0,0.0,14.1,nan,nan,nan
2018-08-09,25.8,32.4,18.9,18.1,55.3,18.0,3.3,5.4,1017.3,1005.0,0.0,0.0,0.0,9.5,nan,nan,nan
2018-08-10,25.4,32.4,21.0,20.5,60.1,19.5,3.5,4.6,1018.7,1006.4,28.2,0.0,28.2,9.2,1.7,nan,nan
2018-08-11,18.4,25.1,17.2,16.9,87.3,18.5,6.9,2.6,1020.2,1007.6,15.8,14.5,1.3,2.5,9.9,0.5,0.6
2018-08-12,18.1,23.1,13.5,12.9,63.6,12.7,3.5,3.1,1018.7,1006.1,0.0,0.0,0.0,13.2,nan,1.0,nan
2018-08-13,22.2,29.6,13.5,12.4,62.4,16.2,2.6,2.3,1011.2,998.8,0.0,0.0,0.0,11.7,nan,13.0,nan
2018-08-14,21.4,26.7,18.2,17.1,75.4,19.0,4.3,3.3,1009.7,997.4,0.2,0.2,0.0,7.7,1.0,11.5,0.9
2018-08-15,20.1,24.7,16.2,14.4,75.1,17.6,5.5,3.9,1015.1,1002.7,0.0,0.0,0.0,5.2,nan,2.6,nan
2018-08-16,20.4,25.4,15.8,13.9,71.4,16.7,3.3,2.3,1019.5,1007.0,0.0,0.0,0.0,7.4,nan,6.7,nan
2018-08-17,22.2,27.1,16.2,14.4,66.8,17.6,1.8,3.1,1017.9,1005.5,0.0,0.0,0.0,8.8,nan,7.0,nan
2018-08-18,22.3,27.6,16.6,14.6,70.5,18.7,4.5,1.5,1018.8,1006.4,0.0,0.0,0.0,3.8,0.4,7.5,nan
2018-08-19,22.5,28.6,15.5,13.1,69.8,18.5,3.9,1.5,1019.6,1007.1,0.0,0.0,0.0,8.9,nan,0.5,nan
2018-08-20,24.1,30.9,15.5,12.7,65.1,18.5,2.4,2.9,1014.5,1002.2,0.0,0.0,0.0,9.6,nan,nan,nan
2018-08-21,19.5,25.8,17.0,15.6,62.5,14.1,3.4,4.1,1018.6,1006.1,0.0,0.0,0.0,6.1,nan,4.2,nan
2018-08-22,18.8,24.0,13.4,11.3,57.9,12.3,2.1,2.4,1022.1,1009.4,0.0,0.0,0.0,10.6,nan,nan,nan
2018-08-23,21.4,28.4,13.1,11.6,58.9,15.0,1.4,3.6,1015.9,1003.4,0.0,0.0,0.0,11.2,nan,nan,nan
2018-08-24,23.5,31.1,18.8,17.4,70.9,19.7,5.3,2.8,1008.4,996.2,3.3,1.5,1.8,6.7,2.2,nan,1.6
2018-08-25,18.2,19.8,16.7,16.9,89.3,18.8,7.0,1.8,1009.4,996.9,3.9,3.9,0.0,0.4,3.5,4.3,nan
2018-08-26,13.8,18.0,12.6,12.9,89.4,14.2,6.8,2.4,1014.5,1001.8,3.8,3.8,0.0,0.0,9.5,6.1,nan
2018-08-27,14.9,20.8,7.7,5.3,72.8,11.9,2.8,1.6,1017.0,1004.2,0.0,0.0,0.0,8.3,nan,1.0,nan
2018-08-28,16.2,21.1,11.4,9.7,73.5,13.4,5.9,2.8,1018.0,1005.3,0.0,0.0,0.0,1.5,nan,8.2,nan
2018-08-29,17.2,22.5,10.5,7.9,70.6,13.4,1.9,1.3,1020.0,1007.3,0.0,0.0,0.0,8.7,nan,1.8,nan
2018-08-30,19.2,25.0,12.0,9.8,67.0,14.7,2.6,3.0,1016.4,1003.9,0.0,0.0,0.0,9.7,0.5,7.0,nan
2018-08-31,18.4,22.0,17.0,14.5,78.0,16.4,5.4,2.6,1018.8,1006.2,0.0,0.0,0.0,2.9,nan,1.6,nan
2018-09-01,18.5,24.4,11.2,8.4,70.1,14.5,3.1,2.4,1023.5,1010.9,0.0,0.0,0.0,7.3,nan,nan,nan
2018-09-02,21.3,27.6,15.8,14.4,63.6,16.0,2.8,3.8,1024.5,1011.9,0.0,0.0,0.0,7.7,nan,nan,nan
2018-09-03,20.8,25.8,15.6,14.4,68.9,16.6,3.0,4.0,1019.5,1007.0,0.0,0.0,0.0,8.2,nan,nan,nan
2018-09-04,20.5,26.1,14.0,12.0,65.8,15.5,3.4,2.9,1013.9,1001.5,0.0,0.0,0.0,7.7,nan,5.7,nan
2018-09-05,18.0,23.5,14.3,12.0,83.3,17.2,4.4,3.6,1015.7,1003.1,0.9,0.9,0.0,3.5,0.9,5.0,nan
2018-09-06,18.5,24.4,13.4,11.1,75.5,15.7,3.5,2.0,1013.5,1000.9,0.0,0.0,0.0,4.3,nan,nan,nan
2018-09-07,18.7,26.2,11.9,9.1,71.6,14.8,2.0,1.8,1012.1,999.6,0.0,0.0,0.0,7.5,nan,2.0,nan
2018-09-08,17.6,23.5,12.8,9.6,82.0,16.4,4.3,3.4,1017.4,1004.8,1.3,0.7,0.6,5.1,2.6,2.8,nan
2018-09-09,17.5,22.0,15.5,14.2,86.1,17.1,6.8,1.6,1022.5,1009.8,0.0,0.0,0.0,3.2,nan,2.5,nan
2018-09-10,18.5,24.5,13.0,10.7,67.6,13.8,3.0,1.5,1021.9,1009.2,0.0,0.0,0.0,11.1,nan,3.9,nan
2018-09-11,17.9,23.8,10.6,8.9,67.9,13.5,6.5,1.9,1020.7,1008.1,0.0,0.0,0.0,1.7,nan,0.7,nan
2018-09-12,21.4,28.8,13.8,12.8,61.3,14.9,3.3,1.5,1018.9,1006.4,0.0,0.0,0.0,10.0,nan,nan,nan
2018-09-13,18.5,22.4,15.2,12.9,71.3,15.1,5.0,3.9,1019.1,1006.5,16.1,0.0,16.1,8.4,3.5,nan,0.3
2018-09-14,15.7,19.1,13.3,13.1,85.1,15.2,6.4,2.5,1019.5,1006.7,0.0,0.0,0.0,0.2,3.4,2.5,nan
2018-09-15,16.1,19.7,14.4,13.3,78.4,14.3,5.3,2.1,1019.5,1006.7,0.1,0.1,0.0,1.8,1.7,7.3,nan
2018-09-16,14.3,20.1,10.9,9.7,73.1,11.7,3.8,2.3,1024.2,1011.4,0.0,0.0,0.0,7.8,0.2,3.2,nan
2018-09-17,15.8,23.2,8.6,6.6,71.4,12.3,3.5,1.6,1022.7,1009.9,0.0,0.0,0.0,9.9,nan,3.5,nan
2018-09-18,18.4,26.1,10.4,7.5,74.6,15.5,4.1,2.1,1020.0,1007.3,0.0,0.0,0.0,8.1,nan,3.1,nan
2018-09-19,20.2,27.5,13.3,11.5,68.3,15.5,1.6,1.6,1018.7,1006.2,0.0,0.0,0.0,10.6,nan,10.6,nan
2018-09-20,20.6,28.6,12.1,9.8,69.4,16.3,0.8,1.4,1019.0,1006.5,0.0,0.0,0.0,10.3,nan,3.0,nan
2018-09-21,20.4,27.2,13.3,11.0,63.1,14.5,1.9,2.6,1013.3,1000.8,0.1,0.0,0.1,9.8,nan,7.0,nan
2018-09-22,14.0,21.5,12.0,11.1,68.0,10.9,4.6,4.3,1015.5,1002.8,0.0,0.0,0.0,2.4,1.6,nan,nan
2018-09-23,11.1,13.9,7.0,5.0,81.6,10.8,6.4,2.6,1012.6,999.7,24.5,1.6,22.9,0.0,10.5,6.4,nan
2018-09-24,9.1,12.1,7.3,7.0,86.3,10.0,6.1,6.9,1011.8,998.8,1.0,1.0,0.0,1.8,7.7,nan,nan
2018-09-25,7.9,12.4,4.7,4.3,70.3,7.3,3.3,5.3,1029.7,1016.5,0.0,0.0,0.0,4.2,0.5,2.5,nan
2018-09-26,9.0,14.2,1.1,-1.0,68.8,7.6,5.8,3.1,1032.6,1019.4,0.8,0.4,0.4,5.6,4.3,2.1,nan
2018-09-27,14.7,18.2,9.9,9.5,67.3,11.4,5.6,5.3,1023.4,1010.6,0.0,0.0,0.0,1.2,nan,3.7,nan
2018-09-28,13.5,18.5,10.9,9.0,75.9,11.8,5.0,3.4,1017.3,1004.6,0.0,0.0,0.0,3.4,0.2,7.5,nan
2018-09-29,8.0,13.8,3.1,1.8,72.4,7.5,1.5,2.1,1026.1,1012.9,0.0,0.0,0.0,7.6,nan,12.0,nan
2018-09-30,8.3,15.2,0.0,-1.9,63.4,6.6,2.0,2.1,1022.5,1009.4,0.0,0.0,0.0,10.0,nan,2.6,nan
2018-10-01,9.7,17.2,1.9,0.2,69.8,8.1,1.4,2.0,1011.7,998.8,0.0,0.0,0.0,9.0,nan,7.5,nan
2018-10-02,9.8,12.6,5.7,2.5,71.6,8.6,6.8,3.8,1012.5,999.6,0.2,0.0,0.2,3.1,0.3,nan,nan
2018-10-03,9.6,12.7,8.0,7.6,74.8,8.9,5.6,6.5,1010.0,997.1,0.7,0.7,0.0,1.5,3.0,nan,nan
2018-10-04,8.3,13.3,5.5,4.6,78.4,8.5,4.0,4.3,1023.3,1010.2,0.0,0.0,0.0,2.8,nan,8.8,nan
2018-10-05,11.2,16.5,5.8,3.7,77.1,10.2,5.3,1.8,1025.8,1012.8,0.0,0.0,0.0,1.0,0.8,5.8,nan
2018-10-06,12.1,20.1,4.6,3.1,72.8,10.0,2.4,2.8,1016.9,1004.0,0.0,0.0,0.0,8.6,nan,12.8,nan
2018-10-07,14.4,21.2,8.8,6.5,74.1,12.0,5.1,3.1,1013.0,1000.3,0.0,0.0,0.0,2.9,nan,8.5,nan
2018-10-08,8.8,14.1,5.4,2.4,79.9,8.9,3.6,1.5,1024.4,1011.3,0.0,0.0,0.0,5.2,nan,5.2,nan
2018-10-09,8.8,16.0,2.7,0.2,82.3,9.2,3.8,1.6,1025.9,1012.8,0.0,0.0,0.0,7.2,nan,0.4,nan
2018-10-10,11.6,19.8,3.3,1.1,79.4,10.7,2.0,2.0,1027.5,1014.5,0.0,0.0,0.0,8.8,nan,2.8,nan
2018-10-11,13.1,21.4,6.5,4.1,73.5,10.5,2.0,3.5,1027.4,1014.5,0.0,0.0,0.0,5.4,nan,nan,nan
2018-10-12,14.5,21.4,9.0,7.5,68.1,11.1,0.1,2.9,1028.6,1015.7,0.0,0.0,0.0,8.9,nan,nan,nan
2018-10-13,14.3,21.6,8.3,4.0,73.8,11.7,0.0,2.5,1029.3,1016.4,0.0,0.0,0.0,8.8,nan,2.0,nan
2018-10-14,13.7,20.1,8.8,6.8,72.5,11.1,0.0,3.5,1025.7,1012.8,0.0,0.0,0.0,8.7,nan,6.5,nan
2018-10-15,12.5,19.7,5.8,2.4,65.5,9.4,1.4,2.6,1023.5,1010.6,0.0,0.0,0.0,8.8,nan,nan,nan
2018-10-16,11.2,20.0,4.5,0.7,71.9,9.3,1.0,2.3,1022.5,1009.6,0.0,0.0,0.0,8.0,nan,4.2,nan
2018-10-17,12.3,20.4,5.7,1.7,71.1,9.7,3.1,1.5,1022.5,1009.6,0.0,0.0,0.0,6.9,nan,3.0,nan
2018-10-18,13.3,21.4,6.5,3.5,70.6,10.4,3.9,0.9,1019.8,1006.9,0.0,0.0,0.0,7.8,nan,2.0,nan
2018-10-19,10.5,14.7,9.1,5.5,90.9,11.6,4.4,2.4,1022.1,1009.1,0.0,0.0,0.0,0.0,nan,nan,nan
2018-10-20,8.8,11.0,6.3,3.0,95.8,10.8,7.3,1.0,1024.7,1011.6,4.1,3.1,1.0,0.1,10.1,nan,nan
2018-10-21,7.8,12.8,3.5,1.7,84.3,8.8,3.8,1.4,1027.9,1014.7,0.0,0.0,0.0,6.9,nan,0.4,nan
2018-10-22,6.4,10.6,2.1,1.5,92.3,8.9,7.1,2.3,1025.3,1012.0,0.5,0.1,0.4,1.7,2.1,nan,nan
2018-10-23,6.8,8.9,4.5,3.8,91.1,9.0,7.0,5.6,1008.9,995.9,20.9,11.9,9.0,0.0,12.1,nan,nan
2018-10-24,5.9,8.9,4.0,3.4,75.6,7.0,6.1,8.5,1001.1,988.1,0.4,0.4,0.0,0.3,5.8,nan,nan
2018-10-25,6.6,10.2,2.9,2.0,86.4,8.6,6.6,5.3,1004.6,991.7,6.6,6.6,0.0,0.3,6.1,nan,nan
2018-10-26,8.3,10.0,7.1,5.7,78.8,8.6,6.9,3.8,1007.4,994.5,0.0,0.0,0.0,0.1,1.8,nan,nan
2018-10-27,9.1,11.3,6.7,5.5,75.5,8.7,6.8,3.0,1005.0,992.2,0.0,0.0,0.0,0.1,nan,nan,nan
2018-10-28,5.6,7.8,4.8,4.0,87.3,7.9,7.5,3.0,1014.8,1001.6,17.7,4.6,13.1,0.0,14.9,nan,nan
2018-10-29,6.9,9.3,3.9,3.6,97.8,9.9,8.0,4.1,1011.4,998.4,0.6,0.6,0.0,0.0,8.0,nan,nan
2018-10-30,16.8,21.5,9.2,9.1,73.4,13.8,5.0,5.5,1008.0,995.5,0.0,0.0,0.0,2.1,nan,2.5,nan
2018-10-31,12.5,17.7,7.1,2.0,69.9,10.0,1.0,1.9,1021.5,1008.6,0.0,0.0,0.0,6.5,nan,7.0,nan
